"Year","Survey","Quarter","F_CODE","sst","sst1","sst2","Atlantic","Boreal","Lusitanian","Unknown","ratio"
1967,"NS-IBTS",1,"4.b",0.218708005112906,-0.324526793633898,-0.292768089411159,1,14,8,0,0.571428571428571
1968,"NS-IBTS",1,"4.b",0.218713079423954,0.218708005112906,-0.324526793633898,3,16,9,3,0.5625
1970,"NS-IBTS",1,"4.b",-0.417567109378676,-0.0572054337244481,0.218713079423954,1,17,11,1,0.647058823529412
1971,"NS-IBTS",1,"4.a",0.13111455210795,-0.165662584702174,0.125378645646075,0,21,15,5,0.714285714285714
1971,"NS-IBTS",1,"4.b",0.212976307297746,-0.417567109378676,-0.0572054337244481,1,16,11,7,0.6875
1972,"NS-IBTS",1,"4.a",0.29940788683792,0.13111455210795,-0.165662584702174,2,17,18,2,1.05882352941176
1972,"NS-IBTS",1,"4.b",0.137718468904495,0.212976307297746,-0.417567109378676,1,20,15,4,0.75
1973,"NS-IBTS",1,"4.a",0.117238921330621,0.29940788683792,0.13111455210795,0,16,15,6,0.9375
1973,"NS-IBTS",1,"4.b",0.427056413143873,0.137718468904495,0.212976307297746,1,15,16,7,1.06666666666667
1974,"NS-IBTS",1,"4.a",0.383099286941191,0.117238921330621,0.29940788683792,0,8,2,0,0.25
1975,"NS-IBTS",1,"4.a",0.244690893466274,0.383099286941191,0.117238921330621,3,16,5,2,0.3125
1975,"NS-IBTS",1,"4.b",0.531200258526951,0.226335404440761,0.427056413143873,1,13,10,4,0.769230769230769
1976,"NS-IBTS",1,"4.a",0.242064410851647,0.244690893466274,0.383099286941191,3,19,11,3,0.578947368421053
1976,"NS-IBTS",1,"4.b",0.310206260338115,0.531200258526951,0.226335404440761,1,17,11,5,0.647058823529412
1977,"NS-IBTS",1,"4.a",-0.173063373068968,0.242064410851647,0.244690893466274,0,19,11,3,0.578947368421053
1977,"NS-IBTS",1,"4.b",-0.102874988069137,0.310206260338115,0.531200258526951,1,18,9,3,0.5
1978,"NS-IBTS",1,"4.a",-0.277305208394925,-0.173063373068968,0.242064410851647,3,18,12,3,0.666666666666667
1978,"NS-IBTS",1,"4.b",-0.2942325353312,-0.102874988069137,0.310206260338115,2,20,18,10,0.9
1978,"NS-IBTS",1,"4.c",0.0120172910392284,0.212412057444453,0.468932265299372,1,8,14,2,1.75
1979,"NS-IBTS",1,"3.a",-1.0604833982264,-0.23371096358945,-0.0690685386459033,2,16,13,2,0.8125
1979,"NS-IBTS",1,"4.a",-0.720702729653567,-0.277305208394925,-0.173063373068968,3,17,14,6,0.823529411764706
1979,"NS-IBTS",1,"4.b",-0.988749587597946,-0.2942325353312,-0.102874988069137,2,21,13,5,0.619047619047619
1979,"NS-IBTS",1,"4.c",-0.300762626032035,0.0120172910392284,0.212412057444453,0,11,11,3,1
1980,"NS-IBTS",1,"3.a",-0.328059772029519,-1.0604833982264,-0.23371096358945,6,19,15,2,0.789473684210526
1980,"NS-IBTS",1,"4.a",0.0201734192979833,-0.720702729653567,-0.277305208394925,4,25,18,5,0.72
1980,"NS-IBTS",1,"4.b",-0.168975348894795,-0.988749587597946,-0.2942325353312,3,21,20,10,0.952380952380952
1980,"NS-IBTS",1,"4.c",-0.00524789979681373,-0.300762626032035,0.0120172910392284,2,8,13,1,1.625
1981,"NS-IBTS",1,"3.a",-0.269933391595259,-0.328059772029519,-1.0604833982264,2,19,12,4,0.631578947368421
1981,"NS-IBTS",1,"4.a",-0.214439185739805,0.0201734192979833,-0.720702729653567,3,20,15,3,0.75
1981,"NS-IBTS",1,"4.b",-0.320596696265663,-0.168975348894795,-0.988749587597946,3,24,16,12,0.666666666666667
1981,"NS-IBTS",1,"4.c",-0.177008632570505,-0.00524789979681373,-0.300762626032035,1,10,11,1,1.1
1982,"NS-IBTS",1,"3.a",0.15528532769531,-0.269933391595259,-0.328059772029519,6,23,16,2,0.695652173913043
1982,"NS-IBTS",1,"4.a",-0.0424689179907242,-0.214439185739805,0.0201734192979833,3,22,20,6,0.909090909090909
1982,"NS-IBTS",1,"4.b",0.0808957838453352,-0.320596696265663,-0.168975348894795,3,22,20,13,0.909090909090909
1982,"NS-IBTS",1,"4.c",0.288403437783321,-0.177008632570505,-0.00524789979681373,0,9,14,3,1.55555555555556
1983,"NS-IBTS",1,"3.a",0.330609423962111,0.15528532769531,-0.269933391595259,2,21,13,1,0.619047619047619
1983,"NS-IBTS",1,"4.a",-0.156937503038595,-0.0424689179907242,-0.214439185739805,3,31,22,3,0.709677419354839
1983,"NS-IBTS",1,"4.b",0.0907146057579666,0.0808957838453352,-0.320596696265663,3,30,22,8,0.733333333333333
1983,"NS-IBTS",1,"4.c",0.19842791898797,0.288403437783321,-0.177008632570505,2,17,14,4,0.823529411764706
1984,"NS-IBTS",1,"3.a",0.0443486527850231,0.330609423962111,0.15528532769531,5,21,16,1,0.761904761904762
1984,"NS-IBTS",1,"4.a",0.00852973125874996,-0.156937503038595,-0.0424689179907242,3,31,23,6,0.741935483870968
1984,"NS-IBTS",1,"4.b",-0.000369793114562829,0.0907146057579666,0.0808957838453352,4,32,29,9,0.90625
1984,"NS-IBTS",1,"4.c",0.00539346629132827,0.19842791898797,0.288403437783321,2,21,19,3,0.904761904761905
1985,"NS-IBTS",1,"3.a",-0.580890892383953,0.0443486527850231,0.330609423962111,3,19,15,2,0.789473684210526
1985,"NS-IBTS",1,"4.a",-0.141620913986117,0.00852973125874996,-0.156937503038595,3,31,26,8,0.838709677419355
1985,"NS-IBTS",1,"4.b",-0.289139880643537,-0.000369793114562829,0.0907146057579666,1,26,23,10,0.884615384615385
1985,"NS-IBTS",1,"4.c",-0.355507857476672,0.00539346629132827,0.19842791898797,2,15,16,5,1.06666666666667
1985,"SWC-IBTS",1,"6.a",-0.109239752870053,0.256050022318959,-0.0304202819243073,7,26,29,6,1.11538461538462
1986,"NS-IBTS",1,"3.a",-0.592599030118436,-0.580890892383953,0.0443486527850231,5,23,16,1,0.695652173913043
1986,"NS-IBTS",1,"4.a",-0.359163580959042,-0.141620913986117,0.00852973125874996,3,28,22,9,0.785714285714286
1986,"NS-IBTS",1,"4.b",-0.591882016975433,-0.289139880643537,-0.000369793114562829,2,30,26,13,0.866666666666667
1986,"NS-IBTS",1,"4.c",-0.595115706014136,-0.355507857476672,0.00539346629132827,2,17,15,4,0.882352941176471
1986,"SWC-IBTS",1,"6.a",-0.311889502530297,-0.109239752870053,0.256050022318959,4,21,28,2,1.33333333333333
1987,"NS-IBTS",1,"3.a",-0.863859018310905,-0.592599030118436,-0.580890892383953,6,24,15,1,0.625
1987,"NS-IBTS",1,"4.a",-0.191339620078603,-0.359163580959042,-0.141620913986117,2,26,19,5,0.730769230769231
1987,"NS-IBTS",1,"4.b",-0.507075962920984,-0.591882016975433,-0.289139880643537,2,30,25,7,0.833333333333333
1987,"NS-IBTS",1,"4.c",-0.325612640318771,-0.595115706014136,-0.355507857476672,1,14,14,5,1
1987,"SWC-IBTS",1,"6.a",-0.00848516387244066,-0.311889502530297,-0.109239752870053,3,24,29,2,1.20833333333333
1988,"FR-CGFS",4,"7.d",0.224726589551816,-0.30882208654657,-0.652665102931981,2,7,30,3,4.28571428571429
1988,"NS-IBTS",1,"3.a",0.56858673132956,-0.863859018310905,-0.592599030118436,5,18,13,1,0.722222222222222
1988,"NS-IBTS",1,"4.a",0.383029243070632,-0.191339620078603,-0.359163580959042,3,28,19,5,0.678571428571429
1988,"NS-IBTS",1,"4.b",0.482804999997218,-0.507075962920984,-0.591882016975433,2,24,28,7,1.16666666666667
1988,"NS-IBTS",1,"4.c",0.450921762734652,-0.325612640318771,-0.595115706014136,1,13,15,7,1.15384615384615
1988,"SWC-IBTS",1,"6.a",0.140935538647076,-0.00848516387244066,-0.311889502530297,3,27,28,3,1.03703703703704
1989,"FR-CGFS",4,"7.d",1.08019358303511,0.224726589551816,-0.30882208654657,1,8,29,3,3.625
1989,"NS-IBTS",1,"3.a",1.16072827825944,0.56858673132956,-0.863859018310905,3,21,11,1,0.523809523809524
1989,"NS-IBTS",1,"4.a",0.443279354088008,0.383029243070632,-0.191339620078603,3,29,19,6,0.655172413793103
1989,"NS-IBTS",1,"4.b",0.928222098698219,0.482804999997218,-0.507075962920984,3,31,28,12,0.903225806451613
1989,"NS-IBTS",1,"4.c",1.27074973285198,0.450921762734652,-0.325612640318771,1,12,16,7,1.33333333333333
1989,"SWC-IBTS",1,"6.a",0.375733497397353,0.140935538647076,-0.00848516387244066,4,26,30,2,1.15384615384615
1990,"FR-CGFS",4,"7.d",1.02327184190014,1.08019358303511,0.224726589551816,2,7,32,3,4.57142857142857
1990,"NS-IBTS",1,"3.a",1.25146463296066,1.16072827825944,0.56858673132956,3,22,15,1,0.681818181818182
1990,"NS-IBTS",1,"4.a",0.703478305848936,0.443279354088008,0.383029243070632,3,25,27,7,1.08
1990,"NS-IBTS",1,"4.b",1.01220208623757,0.928222098698219,0.482804999997218,4,26,31,9,1.19230769230769
1990,"NS-IBTS",1,"4.c",1.19066342959801,1.27074973285198,0.450921762734652,2,13,23,8,1.76923076923077
1990,"SWC-IBTS",1,"6.a",0.497752244273822,0.375733497397353,0.140935538647076,3,25,29,3,1.16
1991,"FR-CGFS",4,"7.d",0.0375556195154786,1.02327184190014,1.08019358303511,2,9,28,3,3.11111111111111
1991,"NS-IBTS",1,"3.a",0.348923077185949,1.25146463296066,1.16072827825944,6,24,21,3,0.875
1991,"NS-IBTS",1,"4.a",0.373030669769893,0.703478305848936,0.443279354088008,4,28,24,7,0.857142857142857
1991,"NS-IBTS",1,"4.b",0.40843237672622,1.01220208623757,0.928222098698219,3,32,37,11,1.15625
1991,"NS-IBTS",1,"4.c",0.260329561928908,1.19066342959801,1.27074973285198,1,17,27,5,1.58823529411765
1991,"SWC-IBTS",1,"6.a",0.161837875532607,0.497752244273822,0.375733497397353,4,24,29,3,1.20833333333333
1992,"FR-CGFS",4,"7.d",0.373077312329163,0.0375556195154786,1.02327184190014,2,6,30,3,5
1992,"NS-IBTS",1,"3.a",0.89793309631447,0.348923077185949,1.25146463296066,5,23,19,1,0.826086956521739
1992,"NS-IBTS",1,"4.a",0.40955142651995,0.373030669769893,0.703478305848936,5,28,25,5,0.892857142857143
1992,"NS-IBTS",1,"4.b",0.692625335572908,0.40843237672622,1.01220208623757,2,31,27,11,0.870967741935484
1992,"NS-IBTS",1,"4.c",0.666884408642848,0.260329561928908,1.19066342959801,1,16,21,4,1.3125
1992,"SWC-IBTS",1,"6.a",0.166365766587357,0.161837875532607,0.497752244273822,3,26,31,3,1.19230769230769
1993,"FR-CGFS",4,"7.d",0.135520010410498,0.373077312329163,0.0375556195154786,2,7,28,3,4
1993,"NS-IBTS",1,"3.a",-0.166710439448555,0.89793309631447,0.348923077185949,4,29,19,3,0.655172413793103
1993,"NS-IBTS",1,"4.a",-0.219240352759759,0.40955142651995,0.373030669769893,5,29,24,4,0.827586206896552
1993,"NS-IBTS",1,"4.b",-0.116573020505408,0.692625335572908,0.40843237672622,4,27,27,10,1
1993,"NS-IBTS",1,"4.c",0.207115939507882,0.666884408642848,0.260329561928908,1,11,19,3,1.72727272727273
1993,"SWC-IBTS",1,"6.a",-0.151766867687305,0.166365766587357,0.161837875532607,3,24,33,3,1.375
1994,"FR-CGFS",4,"7.d",0.588399738927061,0.135520010410498,0.373077312329163,2,8,29,3,3.625
1994,"NS-IBTS",1,"3.a",0.509638103966912,-0.166710439448555,0.89793309631447,5,26,17,2,0.653846153846154
1994,"NS-IBTS",1,"4.a",0.115380687763294,-0.219240352759759,0.40955142651995,5,25,23,4,0.92
1994,"NS-IBTS",1,"4.b",0.363114957076808,-0.116573020505408,0.692625335572908,4,32,29,12,0.90625
1994,"NS-IBTS",1,"4.c",0.794129027674595,0.207115939507882,0.666884408642848,1,14,22,5,1.57142857142857
1994,"SWC-IBTS",1,"6.a",-0.143373418599367,-0.151766867687305,0.166365766587357,4,24,35,3,1.45833333333333
1995,"FR-CGFS",4,"7.d",0.995507111152013,0.588399738927061,0.135520010410498,1,7,31,3,4.42857142857143
1995,"NS-IBTS",1,"3.a",0.792463705564539,0.509638103966912,-0.166710439448555,5,25,19,4,0.76
1995,"NS-IBTS",1,"4.a",0.184389228994648,0.115380687763294,-0.219240352759759,5,27,23,3,0.851851851851852
1995,"NS-IBTS",1,"4.b",0.757892796148856,0.363114957076808,-0.116573020505408,4,31,34,10,1.09677419354839
1995,"NS-IBTS",1,"4.c",1.33043770492077,0.794129027674595,0.207115939507882,1,18,25,6,1.38888888888889
1995,"SWC-IBTS",1,"6.a",0.410204002012809,-0.143373418599367,-0.151766867687305,4,18,27,3,1.5
1996,"FR-CGFS",4,"7.d",0.0016543179905663,0.995507111152013,0.588399738927061,1,6,30,3,5
1996,"NS-IBTS",1,"3.a",-0.498815612867475,0.792463705564539,0.509638103966912,7,27,22,2,0.814814814814815
