"Year","msfd","sst","sst1","sst2","Atlantic","Boreal","Lusitanian","Unknown","ratio"
1999,"Baltic",1.2057399371018,0.344550748666128,0.788719500104586,0,16,7,3,0.4375
2000,"Baltic",1.27589158713818,1.2057399371018,0.344550748666128,0,18,7,1,0.388888888888889
2001,"Baltic",1.17061102266113,1.27589158713818,1.2057399371018,1,19,13,3,0.684210526315789
2002,"Baltic",1.33577534804742,1.17061102266113,1.27589158713818,1,19,12,3,0.631578947368421
2003,"Baltic",0.647992107396325,1.33577534804742,1.17061102266113,2,17,9,3,0.529411764705882
2004,"Baltic",0.788467934044699,0.647992107396325,1.33577534804742,0,17,16,3,0.941176470588235
2005,"Baltic",1.31380107502143,0.788467934044699,0.647992107396325,2,16,12,3,0.75
2006,"Baltic",1.5336110573262,1.31380107502143,0.788467934044699,1,19,14,4,0.736842105263158
2007,"Baltic",1.39307532583674,1.5336110573262,1.31380107502143,2,20,17,2,0.85
2008,"Baltic",1.79570295910041,1.39307532583674,1.5336110573262,0,20,14,4,0.7
2009,"Baltic",1.04904808228215,1.79570295910041,1.39307532583674,0,15,13,5,0.866666666666667
2010,"Baltic",0.362245035668214,1.04904808228215,1.79570295910041,0,17,14,6,0.823529411764706
2011,"Baltic",0.542870913942655,0.362245035668214,1.04904808228215,1,18,16,3,0.888888888888889
2012,"Baltic",0.979033052921295,0.542870913942655,0.362245035668214,0,20,11,6,0.55
2013,"Baltic",1.38440774877866,0.979033052921295,0.542870913942655,0,22,15,5,0.681818181818182
2014,"Baltic",1.90734914938609,1.38440774877866,0.979033052921295,0,22,22,6,1
2015,"Baltic",1.84940561155478,1.90734914938609,1.38440774877866,1,20,15,7,0.75
2016,"Baltic",2.11014488339424,1.84940561155478,1.90734914938609,0,20,16,5,0.8
2017,"Baltic",1.18828585247199,2.11014488339424,1.84940561155478,1,21,19,9,0.904761904761905
2018,"Baltic",2.11586425515513,1.18828585247199,2.11014488339424,1,22,15,7,0.681818181818182
2019,"Baltic",1.72792522112528,2.11586425515513,1.18828585247199,1,22,17,11,0.772727272727273
2020,"Baltic",2.36089405417442,1.72792522112528,2.11586425515513,1,22,18,7,0.818181818181818
1997,"Bay of Biscay and the Iberian Coast",0.9063019232514,0.413213405525312,0.787699583762636,6,14,57,17,4.07142857142857
1998,"Bay of Biscay and the Iberian Coast",0.831906182303404,0.9063019232514,0.413213405525312,4,13,58,15,4.46153846153846
1999,"Bay of Biscay and the Iberian Coast",0.727980135163913,0.831906182303404,0.9063019232514,8,10,58,19,5.8
2000,"Bay of Biscay and the Iberian Coast",0.402359715042015,0.727980135163913,0.831906182303404,8,12,53,12,4.41666666666667
2001,"Bay of Biscay and the Iberian Coast",0.687390620975445,0.402359715042015,0.727980135163913,12,13,69,45,5.30769230769231
2002,"Bay of Biscay and the Iberian Coast",0.511454679848005,0.687390620975445,0.402359715042015,11,12,73,59,6.08333333333333
2003,"Bay of Biscay and the Iberian Coast",0.928463865770027,0.511454679848005,0.687390620975445,11,12,64,39,5.33333333333333
2004,"Bay of Biscay and the Iberian Coast",0.731647731736302,0.928463865770027,0.511454679848005,10,12,67,43,5.58333333333333
2005,"Bay of Biscay and the Iberian Coast",0.731169403064996,0.731647731736302,0.928463865770027,14,14,71,66,5.07142857142857
