"Survey","Quarter","Year","StatRec","F_CODE","Lat","Lon","WKT","Boreal","Lusitanian","Unknown","Atlantic","ratio"
"BITS",1,1999,"37G0","3.b, c",10.5,54.25,"POLYGON ((9.99999999990013 54.0000000001,9.99999999990013 54.5000000000001,10.9999999997003 54.5000000000001,10.9999999997003 54.0000000001,9.99999999990013 54.0000000001))",4,3,0,0,0.75
"BITS",1,1999,"37G1","3.b, c",11.5,54.25,"POLYGON ((10.9999999997003 54.0000000001,10.9999999997003 54.5000000000001,12.0000000003997 54.5000000000001,12.0000000003997 54.0000000001,10.9999999997003 54.0000000001))",5,4,0,0,0.8
"BITS",1,1999,"38G0","3.b, c",10.5,54.75,"POLYGON ((9.99999999990013 54.5000000000001,9.99999999990013 54.9999999999001,10.9999999997003 54.9999999999001,10.9999999997003 54.5000000000001,9.99999999990013 54.5000000000001))",5,4,0,0,0.8
"BITS",1,1999,"38G1","3.b, c",11.5,54.75,"POLYGON ((10.9999999997003 54.5000000000001,10.9999999997003 54.9999999999001,12.0000000003997 54.9999999999001,12.0000000003997 54.5000000000001,10.9999999997003 54.5000000000001))",4,2,1,0,0.5
"BITS",1,1999,"39F9","3.b, c",9.5,55.25,"POLYGON ((9.00000000009999 54.9999999999001,9.00000000009999 55.4999999998002,9.99999999990013 55.4999999998002,9.99999999990013 54.9999999999001,9.00000000009999 54.9999999999001))",6,3,0,0,0.5
"BITS",1,1999,"39G0","3.b, c",10.5,55.25,"POLYGON ((9.99999999990013 54.9999999999001,9.99999999990013 55.4999999998002,10.9999999997003 55.4999999998002,10.9999999997003 54.9999999999001,9.99999999990013 54.9999999999001))",8,3,3,0,0.375
"BITS",1,1999,"39G1","3.b, c",11.5,55.25,"POLYGON ((10.9999999997003 54.9999999999001,10.9999999997003 55.4999999998002,12.0000000003997 55.4999999998002,12.0000000003997 54.9999999999001,10.9999999997003 54.9999999999001))",4,4,0,0,1
"BITS",1,1999,"40G0","3.b, c",10.5,55.75,"POLYGON ((9.99999999990013 55.4999999998002,9.99999999990013 55.9999999997003,10.9999999997003 55.9999999997003,10.9999999997003 55.4999999998002,9.99999999990013 55.4999999998002))",12,3,2,0,0.25
"BITS",1,1999,"40G1","3.b, c",11.5,55.75,"POLYGON ((10.9999999997003 55.4999999998002,10.9999999997003 55.9999999997003,12.0000000003997 55.9999999997003,12.0000000003997 55.4999999998002,10.9999999997003 55.4999999998002))",6,2,1,0,0.333333333333333
"BITS",1,1999,"40G2","3.b, c",12.5,55.75,"POLYGON ((12.0000000003997 55.4999999998002,12.0000000003997 55.9999999997003,13.0000000001999 55.9999999997003,13.0000000001999 55.4999999998002,12.0000000003997 55.4999999998002))",6,1,0,0,0.166666666666667
"BITS",1,1999,"41G0","3.b, c",10.5,56.25,"POLYGON ((9.99999999990013 55.9999999997003,9.99999999990013 56.4999999996003,10.9999999997003 56.4999999996003,10.9999999997003 55.9999999997003,9.99999999990013 55.9999999997003))",12,7,1,0,0.583333333333333
"BITS",1,1999,"43H0","3.d",20.5,57.25,"POLYGON ((19.9999999997003 57.0000000003998,19.9999999997003 57.5000000002998,21.0000000003997 57.5000000002998,21.0000000003997 57.0000000003998,19.9999999997003 57.0000000003998))",1,1,0,0,1
"BITS",1,2000,"37G0","3.b, c",10.5,54.25,"POLYGON ((9.99999999990013 54.0000000001,9.99999999990013 54.5000000000001,10.9999999997003 54.5000000000001,10.9999999997003 54.0000000001,9.99999999990013 54.0000000001))",4,3,0,0,0.75
"BITS",1,2000,"37G1","3.b, c",11.5,54.25,"POLYGON ((10.9999999997003 54.0000000001,10.9999999997003 54.5000000000001,12.0000000003997 54.5000000000001,12.0000000003997 54.0000000001,10.9999999997003 54.0000000001))",6,3,1,0,0.5
"BITS",1,2000,"38G0","3.b, c",10.5,54.75,"POLYGON ((9.99999999990013 54.5000000000001,9.99999999990013 54.9999999999001,10.9999999997003 54.9999999999001,10.9999999997003 54.5000000000001,9.99999999990013 54.5000000000001))",8,3,0,0,0.375
"BITS",1,2000,"38G1","3.b, c",11.5,54.75,"POLYGON ((10.9999999997003 54.5000000000001,10.9999999997003 54.9999999999001,12.0000000003997 54.9999999999001,12.0000000003997 54.5000000000001,10.9999999997003 54.5000000000001))",5,3,1,0,0.6
"BITS",1,2000,"38G3","3.d",13.5,54.75,"POLYGON ((13.0000000001999 54.5000000000001,13.0000000001999 54.9999999999001,14.0000000000001 54.9999999999001,14.0000000000001 54.5000000000001,13.0000000001999 54.5000000000001))",2,1,1,0,0.5
"BITS",1,2000,"38G4","3.d",14.5,54.75,"POLYGON ((14.0000000000001 54.5000000000001,14.0000000000001 54.9999999999001,14.9999999998002 54.9999999999001,14.9999999998002 54.5000000000001,14.0000000000001 54.5000000000001))",1,1,0,0,1
"BITS",1,2000,"39F9","3.b, c",9.5,55.25,"POLYGON ((9.00000000009999 54.9999999999001,9.00000000009999 55.4999999998002,9.99999999990013 55.4999999998002,9.99999999990013 54.9999999999001,9.00000000009999 54.9999999999001))",5,3,0,0,0.6
"BITS",1,2000,"39G0","3.b, c",10.5,55.25,"POLYGON ((9.99999999990013 54.9999999999001,9.99999999990013 55.4999999998002,10.9999999997003 55.4999999998002,10.9999999997003 54.9999999999001,9.99999999990013 54.9999999999001))",9,6,0,0,0.666666666666667
"BITS",1,2000,"39G3","3.d",13.5,55.25,"POLYGON ((13.0000000001999 54.9999999999001,13.0000000001999 55.4999999998002,14.0000000000001 55.4999999998002,14.0000000000001 54.9999999999001,13.0000000001999 54.9999999999001))",1,1,0,0,1
"BITS",1,2000,"39G4","3.d",14.5,55.25,"POLYGON ((14.0000000000001 54.9999999999001,14.0000000000001 55.4999999998002,14.9999999998002 55.4999999998002,14.9999999998002 54.9999999999001,14.0000000000001 54.9999999999001))",1,1,0,0,1
"BITS",1,2000,"40G0","3.b, c",10.5,55.75,"POLYGON ((9.99999999990013 55.4999999998002,9.99999999990013 55.9999999997003,10.9999999997003 55.9999999997003,10.9999999997003 55.4999999998002,9.99999999990013 55.4999999998002))",14,5,1,0,0.357142857142857
"BITS",1,2000,"40G1","3.b, c",11.5,55.75,"POLYGON ((10.9999999997003 55.4999999998002,10.9999999997003 55.9999999997003,12.0000000003997 55.9999999997003,12.0000000003997 55.4999999998002,10.9999999997003 55.4999999998002))",7,3,1,0,0.428571428571429
"BITS",1,2000,"40G2","3.b, c",12.5,55.75,"POLYGON ((12.0000000003997 55.4999999998002,12.0000000003997 55.9999999997003,13.0000000001999 55.9999999997003,13.0000000001999 55.4999999998002,12.0000000003997 55.4999999998002))",4,3,0,0,0.75
"BITS",1,2000,"40G6","3.d",16.5,55.75,"POLYGON ((15.9999999996003 55.4999999998002,15.9999999996003 55.9999999997003,17.0000000002998 55.9999999997003,17.0000000002998 55.4999999998002,15.9999999996003 55.4999999998002))",1,1,0,0,1
"BITS",1,2000,"41G0","3.b, c",10.5,56.25,"POLYGON ((9.99999999990013 55.9999999997003,9.99999999990013 56.4999999996003,10.9999999997003 56.4999999996003,10.9999999997003 55.9999999997003,9.99999999990013 55.9999999997003))",10,3,0,0,0.3
"BITS",1,2000,"42H0","3.d",20.5,56.75,"POLYGON ((19.9999999997003 56.4999999996003,19.9999999997003 57.0000000003998,21.0000000003997 57.0000000003998,21.0000000003997 56.4999999996003,19.9999999997003 56.4999999996003))",1,1,0,0,1
"BITS",1,2000,"43H1","3.d",21.5,57.25,"POLYGON ((21.0000000003997 57.0000000003998,21.0000000003997 57.5000000002998,22.0000000001999 57.5000000002998,22.0000000001999 57.0000000003998,21.0000000003997 57.0000000003998))",1,1,0,0,1
"BITS",1,2001,"37G0","3.b, c",10.5,54.25,"POLYGON ((9.99999999990013 54.0000000001,9.99999999990013 54.5000000000001,10.9999999997003 54.5000000000001,10.9999999997003 54.0000000001,9.99999999990013 54.0000000001))",3,3,0,1,1
