"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"37G0","BITS","27.3.b, c",1,1999,3,4,0.75,10.5,54.25,"POLYGON ((9.99999999990013 54.0000000001,9.99999999990013 54.5000000000001,10.9999999997003 54.5000000000001,10.9999999997003 54.0000000001,9.99999999990013 54.0000000001))"
"37G1","BITS","27.3.b, c",1,1999,4,5,0.8,11.5,54.25,"POLYGON ((10.9999999997003 54.0000000001,10.9999999997003 54.5000000000001,12.0000000003997 54.5000000000001,12.0000000003997 54.0000000001,10.9999999997003 54.0000000001))"
"38G0","BITS","27.3.b, c",1,1999,4,5,0.8,10.5,54.75,"POLYGON ((9.99999999990013 54.5000000000001,9.99999999990013 54.9999999999001,10.9999999997003 54.9999999999001,10.9999999997003 54.5000000000001,9.99999999990013 54.5000000000001))"
"38G1","BITS","27.3.b, c",1,1999,2,4,0.5,11.5,54.75,"POLYGON ((10.9999999997003 54.5000000000001,10.9999999997003 54.9999999999001,12.0000000003997 54.9999999999001,12.0000000003997 54.5000000000001,10.9999999997003 54.5000000000001))"
"39F9","BITS","27.3.b, c",1,1999,3,6,0.5,9.5,55.25,"POLYGON ((9.00000000009999 54.9999999999001,9.00000000009999 55.4999999998002,9.99999999990013 55.4999999998002,9.99999999990013 54.9999999999001,9.00000000009999 54.9999999999001))"
"39G0","BITS","27.3.b, c",1,1999,3,8,0.375,10.5,55.25,"POLYGON ((9.99999999990013 54.9999999999001,9.99999999990013 55.4999999998002,10.9999999997003 55.4999999998002,10.9999999997003 54.9999999999001,9.99999999990013 54.9999999999001))"
"39G1","BITS","27.3.b, c",1,1999,4,4,1,11.5,55.25,"POLYGON ((10.9999999997003 54.9999999999001,10.9999999997003 55.4999999998002,12.0000000003997 55.4999999998002,12.0000000003997 54.9999999999001,10.9999999997003 54.9999999999001))"
"40G0","BITS","27.3.b, c",1,1999,3,12,0.25,10.5,55.75,"POLYGON ((9.99999999990013 55.4999999998002,9.99999999990013 55.9999999997003,10.9999999997003 55.9999999997003,10.9999999997003 55.4999999998002,9.99999999990013 55.4999999998002))"
"40G1","BITS","27.3.b, c",1,1999,2,6,0.333333333333333,11.5,55.75,"POLYGON ((10.9999999997003 55.4999999998002,10.9999999997003 55.9999999997003,12.0000000003997 55.9999999997003,12.0000000003997 55.4999999998002,10.9999999997003 55.4999999998002))"
"40G2","BITS","27.3.b, c",1,1999,1,6,0.166666666666667,12.5,55.75,"POLYGON ((12.0000000003997 55.4999999998002,12.0000000003997 55.9999999997003,13.0000000001999 55.9999999997003,13.0000000001999 55.4999999998002,12.0000000003997 55.4999999998002))"
"41G0","BITS","27.3.b, c",1,1999,7,12,0.583333333333333,10.5,56.25,"POLYGON ((9.99999999990013 55.9999999997003,9.99999999990013 56.4999999996003,10.9999999997003 56.4999999996003,10.9999999997003 55.9999999997003,9.99999999990013 55.9999999997003))"
"43H0","BITS","27.3.d",1,1999,1,1,1,20.5,57.25,"POLYGON ((19.9999999997003 57.0000000003998,19.9999999997003 57.5000000002998,21.0000000003997 57.5000000002998,21.0000000003997 57.0000000003998,19.9999999997003 57.0000000003998))"
"37G0","BITS","27.3.b, c",1,2000,3,4,0.75,10.5,54.25,"POLYGON ((9.99999999990013 54.0000000001,9.99999999990013 54.5000000000001,10.9999999997003 54.5000000000001,10.9999999997003 54.0000000001,9.99999999990013 54.0000000001))"
"37G1","BITS","27.3.b, c",1,2000,3,6,0.5,11.5,54.25,"POLYGON ((10.9999999997003 54.0000000001,10.9999999997003 54.5000000000001,12.0000000003997 54.5000000000001,12.0000000003997 54.0000000001,10.9999999997003 54.0000000001))"
