"Year","Atlantic","Boreal","Lusitanian","Unknown","F_CODE"
1979,2,16,13,2,"27.3.a"
1980,6,19,15,2,"27.3.a"
1981,2,19,12,4,"27.3.a"
1982,6,23,16,2,"27.3.a"
1983,2,21,13,1,"27.3.a"
1984,5,21,16,1,"27.3.a"
1985,3,19,15,2,"27.3.a"
1986,5,23,16,1,"27.3.a"
1987,6,24,15,1,"27.3.a"
1988,5,18,13,1,"27.3.a"
1989,3,21,11,1,"27.3.a"
1990,3,22,15,1,"27.3.a"
1991,6,24,21,3,"27.3.a"
1992,5,23,19,1,"27.3.a"
1993,4,29,19,3,"27.3.a"
1994,5,26,17,2,"27.3.a"
1995,5,25,19,4,"27.3.a"
1996,7,27,22,2,"27.3.a"
1997,7,30,21,2,"27.3.a"
1998,6,28,24,2,"27.3.a"
1999,7,28,22,3,"27.3.a"
2000,5,30,26,3,"27.3.a"
2001,7,28,21,3,"27.3.a"
2002,4,31,22,4,"27.3.a"
2003,5,27,24,3,"27.3.a"
2004,6,29,27,4,"27.3.a"
2005,5,31,31,3,"27.3.a"
2006,5,26,27,3,"27.3.a"
2007,4,32,29,5,"27.3.a"
2008,4,26,30,7,"27.3.a"
2009,5,26,32,4,"27.3.a"
2010,4,23,22,5,"27.3.a"
2011,5,22,22,2,"27.3.a"
2012,4,29,26,4,"27.3.a"
2013,7,26,28,3,"27.3.a"
2014,6,28,30,5,"27.3.a"
2015,7,30,33,5,"27.3.a"
2016,6,23,26,5,"27.3.a"
2017,8,27,31,5,"27.3.a"
2018,7,29,29,4,"27.3.a"
2019,7,27,30,6,"27.3.a"
2020,6,29,31,5,"27.3.a"
1999,0,20,9,3,"27.3.b, c"
2000,0,18,7,1,"27.3.b, c"
2001,1,15,13,3,"27.3.b, c"
2002,1,18,11,2,"27.3.b, c"
2003,1,17,12,2,"27.3.b, c"
2004,0,17,13,3,"27.3.b, c"
2005,0,14,13,3,"27.3.b, c"
2006,2,18,16,3,"27.3.b, c"
2007,1,18,16,2,"27.3.b, c"
2008,0,18,12,4,"27.3.b, c"
2009,0,17,13,4,"27.3.b, c"
2010,0,16,18,4,"27.3.b, c"
2011,2,18,16,3,"27.3.b, c"
2012,0,17,10,2,"27.3.b, c"
2013,0,21,14,2,"27.3.b, c"
2014,0,20,19,4,"27.3.b, c"
2015,1,13,11,4,"27.3.b, c"
2016,0,16,14,2,"27.3.b, c"
2017,1,20,17,5,"27.3.b, c"
2018,0,19,15,4,"27.3.b, c"
2019,0,20,16,7,"27.3.b, c"
2020,0,21,15,5,"27.3.b, c"
1999,0,1,1,0,"27.3.d"
2000,0,2,1,1,"27.3.d"
2001,1,11,4,1,"27.3.d"
2002,1,9,5,2,"27.3.d"
2003,1,13,5,2,"27.3.d"
2004,0,10,7,2,"27.3.d"
2005,2,12,5,2,"27.3.d"
