"Year","Atlantic","Boreal","Lusitanian","Unknown","msfd"
1999,0,16,7,3,"Baltic"
2000,0,18,7,1,"Baltic"
2001,1,19,13,3,"Baltic"
2002,1,19,12,3,"Baltic"
2003,2,17,9,3,"Baltic"
2004,0,17,16,3,"Baltic"
2005,2,16,12,3,"Baltic"
2006,1,19,14,4,"Baltic"
2007,2,20,17,2,"Baltic"
2008,0,20,14,4,"Baltic"
2009,0,15,13,5,"Baltic"
2010,0,17,14,6,"Baltic"
2011,1,18,16,3,"Baltic"
2012,0,20,11,6,"Baltic"
2013,0,22,15,5,"Baltic"
2014,0,22,22,6,"Baltic"
2015,1,20,15,7,"Baltic"
2016,0,20,16,5,"Baltic"
2017,1,21,19,9,"Baltic"
2018,1,22,15,7,"Baltic"
2019,1,22,17,11,"Baltic"
2020,1,22,18,7,"Baltic"
1997,6,14,57,17,"Bay of Biscay and the Iberian Coast"
1998,4,13,58,15,"Bay of Biscay and the Iberian Coast"
1999,8,10,58,19,"Bay of Biscay and the Iberian Coast"
2000,8,12,53,12,"Bay of Biscay and the Iberian Coast"
2001,12,13,69,45,"Bay of Biscay and the Iberian Coast"
2002,11,12,73,59,"Bay of Biscay and the Iberian Coast"
2003,11,12,64,39,"Bay of Biscay and the Iberian Coast"
2004,10,12,67,43,"Bay of Biscay and the Iberian Coast"
2005,14,14,71,66,"Bay of Biscay and the Iberian Coast"
2006,16,12,71,68,"Bay of Biscay and the Iberian Coast"
2007,14,13,74,68,"Bay of Biscay and the Iberian Coast"
2008,13,13,71,67,"Bay of Biscay and the Iberian Coast"
2009,12,13,72,62,"Bay of Biscay and the Iberian Coast"
2010,15,14,70,62,"Bay of Biscay and the Iberian Coast"
2011,14,14,72,74,"Bay of Biscay and the Iberian Coast"
2012,13,9,65,49,"Bay of Biscay and the Iberian Coast"
2013,16,18,78,72,"Bay of Biscay and the Iberian Coast"
2014,15,16,69,69,"Bay of Biscay and the Iberian Coast"
2015,15,17,68,69,"Bay of Biscay and the Iberian Coast"
2016,16,13,69,63,"Bay of Biscay and the Iberian Coast"
2017,16,10,69,64,"Bay of Biscay and the Iberian Coast"
2018,15,15,69,61,"Bay of Biscay and the Iberian Coast"
2019,10,12,69,25,"Bay of Biscay and the Iberian Coast"
2020,11,12,59,25,"Bay of Biscay and the Iberian Coast"
1971,0,6,9,2,"Celtic Seas"
1972,1,12,10,1,"Celtic Seas"
1973,0,12,11,3,"Celtic Seas"
1977,0,11,11,2,"Celtic Seas"
1978,1,7,5,0,"Celtic Seas"
1979,1,16,10,2,"Celtic Seas"
1980,3,21,17,4,"Celtic Seas"
1982,2,19,13,2,"Celtic Seas"
1983,2,23,15,2,"Celtic Seas"
1984,3,21,21,2,"Celtic Seas"
1985,7,29,29,12,"Celtic Seas"
1986,4,27,30,6,"Celtic Seas"
1987,3,28,30,3,"Celtic Seas"
1988,3,28,29,5,"Celtic Seas"
1989,4,27,30,2,"Celtic Seas"
1990,3,27,30,4,"Celtic Seas"
1991,4,28,31,7,"Celtic Seas"
1992,4,29,31,6,"Celtic Seas"
1993,5,28,34,4,"Celtic Seas"
1994,5,26,35,3,"Celtic Seas"
1995,5,22,27,4,"Celtic Seas"
1996,4,28,35,6,"Celtic Seas"
1997,6,26,43,5,"Celtic Seas"
1998,8,30,46,8,"Celtic Seas"
1999,8,29,47,14,"Celtic Seas"
2000,5,29,44,7,"Celtic Seas"
2001,16,36,50,26,"Celtic Seas"
2002,16,36,48,31,"Celtic Seas"
2003,13,33,51,29,"Celtic Seas"
2004,14,30,48,32,"Celtic Seas"
2005,15,34,55,30,"Celtic Seas"
2006,19,33,58,33,"Celtic Seas"
2007,19,32,56,36,"Celtic Seas"
2008,19,29,56,38,"Celtic Seas"
2009,18,31,59,43,"Celtic Seas"
2010,18,32,60,38,"Celtic Seas"
2011,17,34,59,41,"Celtic Seas"
2012,17,31,58,46,"Celtic Seas"
2013,14,33,57,38,"Celtic Seas"
2014,12,36,58,21,"Celtic Seas"
2015,15,36,59,44,"Celtic Seas"
2016,15,30,56,32,"Celtic Seas"
2017,16,25,45,30,"Celtic Seas"
2018,13,32,56,37,"Celtic Seas"
2019,8,27,59,16,"Celtic Seas"
2020,10,28,54,12,"Celtic Seas"
1967,1,14,8,0,"Greater North Sea, incl. the Kattegat and the English Channel"
1968,3,16,9,3,"Greater North Sea, incl. the Kattegat and the English Channel"
1970,1,17,11,1,"Greater North Sea, incl. the Kattegat and the English Channel"
1971,1,21,16,8,"Greater North Sea, incl. the Kattegat and the English Channel"
1972,2,21,21,5,"Greater North Sea, incl. the Kattegat and the English Channel"
1973,1,17,20,8,"Greater North Sea, incl. the Kattegat and the English Channel"
1974,0,8,2,0,"Greater North Sea, incl. the Kattegat and the English Channel"
1975,3,21,12,4,"Greater North Sea, incl. the Kattegat and the English Channel"
1976,3,21,15,6,"Greater North Sea, incl. the Kattegat and the English Channel"
1977,1,22,14,4,"Greater North Sea, incl. the Kattegat and the English Channel"
1978,3,24,25,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1979,3,25,22,8,"Greater North Sea, incl. the Kattegat and the English Channel"
1980,6,30,27,12,"Greater North Sea, incl. the Kattegat and the English Channel"
1981,4,27,24,14,"Greater North Sea, incl. the Kattegat and the English Channel"
1982,6,30,28,14,"Greater North Sea, incl. the Kattegat and the English Channel"
1983,4,37,30,8,"Greater North Sea, incl. the Kattegat and the English Channel"
1984,6,38,33,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1985,5,36,30,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1986,6,37,31,15,"Greater North Sea, incl. the Kattegat and the English Channel"
1987,6,36,29,8,"Greater North Sea, incl. the Kattegat and the English Channel"
1988,5,34,44,11,"Greater North Sea, incl. the Kattegat and the English Channel"
1989,5,37,47,14,"Greater North Sea, incl. the Kattegat and the English Channel"
1990,6,32,46,16,"Greater North Sea, incl. the Kattegat and the English Channel"
1991,8,40,52,14,"Greater North Sea, incl. the Kattegat and the English Channel"
1992,7,39,46,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1993,6,35,48,11,"Greater North Sea, incl. the Kattegat and the English Channel"
1994,6,37,45,15,"Greater North Sea, incl. the Kattegat and the English Channel"
1995,7,40,50,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1996,8,39,46,13,"Greater North Sea, incl. the Kattegat and the English Channel"
1997,7,40,54,12,"Greater North Sea, incl. the Kattegat and the English Channel"
1998,7,45,56,15,"Greater North Sea, incl. the Kattegat and the English Channel"
1999,8,38,54,9,"Greater North Sea, incl. the Kattegat and the English Channel"
2000,7,42,55,11,"Greater North Sea, incl. the Kattegat and the English Channel"
2001,8,36,57,13,"Greater North Sea, incl. the Kattegat and the English Channel"
2002,6,41,53,11,"Greater North Sea, incl. the Kattegat and the English Channel"
2003,6,40,55,9,"Greater North Sea, incl. the Kattegat and the English Channel"
2004,6,41,57,13,"Greater North Sea, incl. the Kattegat and the English Channel"
2005,6,44,62,15,"Greater North Sea, incl. the Kattegat and the English Channel"
2006,8,36,57,13,"Greater North Sea, incl. the Kattegat and the English Channel"
2007,6,42,60,13,"Greater North Sea, incl. the Kattegat and the English Channel"
2008,6,40,62,11,"Greater North Sea, incl. the Kattegat and the English Channel"
2009,8,37,58,9,"Greater North Sea, incl. the Kattegat and the English Channel"
2010,6,39,54,10,"Greater North Sea, incl. the Kattegat and the English Channel"
2011,8,38,58,10,"Greater North Sea, incl. the Kattegat and the English Channel"
2012,7,41,59,10,"Greater North Sea, incl. the Kattegat and the English Channel"
2013,7,44,63,11,"Greater North Sea, incl. the Kattegat and the English Channel"
2014,8,40,63,11,"Greater North Sea, incl. the Kattegat and the English Channel"
2015,9,41,63,14,"Greater North Sea, incl. the Kattegat and the English Channel"
2016,7,41,61,13,"Greater North Sea, incl. the Kattegat and the English Channel"
2017,8,41,63,15,"Greater North Sea, incl. the Kattegat and the English Channel"
2018,9,42,58,14,"Greater North Sea, incl. the Kattegat and the English Channel"
2019,8,43,61,15,"Greater North Sea, incl. the Kattegat and the English Channel"
2020,9,42,63,16,"Greater North Sea, incl. the Kattegat and the English Channel"
