"Year","ratio","sst","sst1","sst2","F_CODE"
1979,0.8125,-1.0604833982264,-0.23371096358945,-0.0690685386459033,"27.3.a"
1980,0.789473684210526,-0.328059772029519,-1.0604833982264,-0.23371096358945,"27.3.a"
1981,0.631578947368421,-0.269933391595259,-0.328059772029519,-1.0604833982264,"27.3.a"
1982,0.695652173913043,0.15528532769531,-0.269933391595259,-0.328059772029519,"27.3.a"
1983,0.619047619047619,0.330609423962111,0.15528532769531,-0.269933391595259,"27.3.a"
1984,0.761904761904762,0.0443486527850231,0.330609423962111,0.15528532769531,"27.3.a"
1985,0.789473684210526,-0.580890892383953,0.0443486527850231,0.330609423962111,"27.3.a"
1986,0.695652173913043,-0.592599030118436,-0.580890892383953,0.0443486527850231,"27.3.a"
1987,0.625,-0.863859018310905,-0.592599030118436,-0.580890892383953,"27.3.a"
1988,0.722222222222222,0.56858673132956,-0.863859018310905,-0.592599030118436,"27.3.a"
1989,0.523809523809524,1.16072827825944,0.56858673132956,-0.863859018310905,"27.3.a"
1990,0.681818181818182,1.25146463296066,1.16072827825944,0.56858673132956,"27.3.a"
1991,0.875,0.348923077185949,1.25146463296066,1.16072827825944,"27.3.a"
1992,0.826086956521739,0.89793309631447,0.348923077185949,1.25146463296066,"27.3.a"
1993,0.655172413793103,-0.166710439448555,0.89793309631447,0.348923077185949,"27.3.a"
1994,0.653846153846154,0.509638103966912,-0.166710439448555,0.89793309631447,"27.3.a"
1995,0.76,0.792463705564539,0.509638103966912,-0.166710439448555,"27.3.a"
1996,0.814814814814815,-0.498815612867475,0.792463705564539,0.509638103966912,"27.3.a"
1997,0.7,0.754065929291149,-0.498815612867475,0.792463705564539,"27.3.a"
1998,0.857142857142857,0.519048383149008,0.754065929291149,-0.498815612867475,"27.3.a"
1999,0.785714285714286,1.14635653048754,0.519048383149008,0.754065929291149,"27.3.a"
2000,0.866666666666667,1.0692855102631,1.14635653048754,0.519048383149008,"27.3.a"
2001,0.75,0.848378679404656,1.0692855102631,1.14635653048754,"27.3.a"
2002,0.709677419354839,1.2824285045887,0.848378679404656,1.0692855102631,"27.3.a"
2003,0.888888888888889,0.980251975667973,1.2824285045887,0.848378679404656,"27.3.a"
2004,0.931034482758621,0.978406673297286,0.980251975667973,1.2824285045887,"27.3.a"
2005,1,1.18120742356405,0.978406673297286,0.980251975667973,"27.3.a"
2006,1.03846153846154,1.55301513026158,1.18120742356405,0.978406673297286,"27.3.a"
2007,0.90625,1.4755046290035,1.55301513026158,1.18120742356405,"27.3.a"
2008,1.15384615384615,1.59965995326638,1.4755046290035,1.55301513026158,"27.3.a"
2009,1.23076923076923,1.01276235623906,1.59965995326638,1.4755046290035,"27.3.a"
2010,0.956521739130435,0.16030919427673,1.01276235623906,1.59965995326638,"27.3.a"
2011,1,0.809335353473822,0.16030919427673,1.01276235623906,"27.3.a"
2012,0.896551724137931,0.6834344357873,0.809335353473822,0.16030919427673,"27.3.a"
2013,1.07692307692308,0.570334647161265,0.6834344357873,0.809335353473822,"27.3.a"
2014,1.07142857142857,2.08489008123676,0.570334647161265,0.6834344357873,"27.3.a"
2015,1.1,1.18160551848511,2.08489008123676,0.570334647161265,"27.3.a"
2016,1.1304347826087,1.63185395176212,1.18160551848511,2.08489008123676,"27.3.a"
2017,1.14814814814815,1.28712935497363,1.63185395176212,1.18160551848511,"27.3.a"
2018,1,1.53857726355394,1.28712935497363,1.63185395176212,"27.3.a"
2019,1.11111111111111,1.55737487350901,1.53857726355394,1.28712935497363,"27.3.a"
2020,1.06896551724138,2.16355531911055,1.55737487350901,1.53857726355394,"27.3.a"
1999,0.45,1.32809276894356,0.700510266236961,0.789813353214413,"27.3.b, c"
2000,0.388888888888889,1.24240146259156,1.32809276894356,0.700510266236961,"27.3.b, c"
2001,0.866666666666667,0.997813136937718,1.24240146259156,1.32809276894356,"27.3.b, c"
2002,0.611111111111111,1.34225122304633,0.997813136937718,1.24240146259156,"27.3.b, c"
2003,0.705882352941177,1.06299647855728,1.34225122304633,0.997813136937718,"27.3.b, c"
2004,0.764705882352941,0.99271199076126,1.06299647855728,1.34225122304633,"27.3.b, c"
2005,0.928571428571429,1.16991239048851,0.99271199076126,1.06299647855728,"27.3.b, c"
2006,0.888888888888889,1.50015409446011,1.16991239048851,0.99271199076126,"27.3.b, c"
2007,0.888888888888889,1.69052796609079,1.50015409446011,1.16991239048851,"27.3.b, c"
2008,0.666666666666667,1.58340682213505,1.69052796609079,1.50015409446011,"27.3.b, c"
2009,0.764705882352941,1.11357311005122,1.58340682213505,1.69052796609079,"27.3.b, c"
2010,1.125,0.120408637371535,1.11357311005122,1.58340682213505,"27.3.b, c"
