"Year","ratio","sst","sst1","sst2","msfd"
1999,0.4375,1.2057399371018,0.344550748666128,0.788719500104586,"Baltic"
2000,0.388888888888889,1.27589158713818,1.2057399371018,0.344550748666128,"Baltic"
2001,0.684210526315789,1.17061102266113,1.27589158713818,1.2057399371018,"Baltic"
2002,0.631578947368421,1.33577534804742,1.17061102266113,1.27589158713818,"Baltic"
2003,0.529411764705882,0.647992107396325,1.33577534804742,1.17061102266113,"Baltic"
2004,0.941176470588235,0.788467934044699,0.647992107396325,1.33577534804742,"Baltic"
2005,0.75,1.31380107502143,0.788467934044699,0.647992107396325,"Baltic"
2006,0.736842105263158,1.5336110573262,1.31380107502143,0.788467934044699,"Baltic"
2007,0.85,1.39307532583674,1.5336110573262,1.31380107502143,"Baltic"
2008,0.7,1.79570295910041,1.39307532583674,1.5336110573262,"Baltic"
2009,0.866666666666667,1.04904808228215,1.79570295910041,1.39307532583674,"Baltic"
2010,0.823529411764706,0.362245035668214,1.04904808228215,1.79570295910041,"Baltic"
2011,0.888888888888889,0.542870913942655,0.362245035668214,1.04904808228215,"Baltic"
2012,0.55,0.979033052921295,0.542870913942655,0.362245035668214,"Baltic"
2013,0.681818181818182,1.38440774877866,0.979033052921295,0.542870913942655,"Baltic"
2014,1,1.90734914938609,1.38440774877866,0.979033052921295,"Baltic"
2015,0.75,1.84940561155478,1.90734914938609,1.38440774877866,"Baltic"
2016,0.8,2.11014488339424,1.84940561155478,1.90734914938609,"Baltic"
2017,0.904761904761905,1.18828585247199,2.11014488339424,1.84940561155478,"Baltic"
2018,0.681818181818182,2.11586425515513,1.18828585247199,2.11014488339424,"Baltic"
2019,0.772727272727273,1.72792522112528,2.11586425515513,1.18828585247199,"Baltic"
2020,0.818181818181818,2.36089405417442,1.72792522112528,2.11586425515513,"Baltic"
1997,4.07142857142857,0.9063019232514,0.413213405525312,0.787699583762636,"Bay of Biscay and the Iberian Coast"
1998,4.46153846153846,0.831906182303404,0.9063019232514,0.413213405525312,"Bay of Biscay and the Iberian Coast"
1999,5.8,0.727980135163913,0.831906182303404,0.9063019232514,"Bay of Biscay and the Iberian Coast"
